site,name,year,month,day,tmin,tmax,date,working,demand,area_string
NC,Northcote,2015,09,22,6.6,12.8,2015-09-22,Weekday,23.31665039,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,22,6.6,12.8,2015-09-22,Weekday,12.54078027,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,23,4.7,12.9,2015-09-23,Weekday,18.25982422,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,23,4.7,12.9,2015-09-23,Weekday,23.3567793,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,23,4.7,12.9,2015-09-23,Weekday,12.28111328,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,24,4.1,15.3,2015-09-24,Weekday,16.96394531,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,24,4.1,15.3,2015-09-24,Weekday,21.80839258,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,24,4.1,15.3,2015-09-24,Weekday,12.33529297,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,25,3.4,18.3,2015-09-25,Weekday,16.07174512,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,25,3.4,18.3,2015-09-25,Weekday,18.26614453,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,25,3.4,18.3,2015-09-25,Weekday,11.7186875,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,26,4.9,19.3,2015-09-26,Weekend,15.7130918,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,26,4.9,19.3,2015-09-26,Weekend,16.71233398,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,26,4.9,19.3,2015-09-26,Weekend,8.131477539,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,27,7.9,20.5,2015-09-27,Weekend,15.6850293,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,27,7.9,20.5,2015-09-27,Weekend,16.47153125,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,27,7.9,20.5,2015-09-27,Weekend,8.011503906,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,28,5.3,23.2,2015-09-28,Weekday,16.65650391,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,28,5.3,23.2,2015-09-28,Weekday,17.80110156,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,28,5.3,23.2,2015-09-28,Weekday,10.91803418,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,29,7.7,17,2015-09-29,Weekday,16.97802734,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,29,7.7,17,2015-09-29,Weekday,19.26326758,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,29,7.7,17,2015-09-29,Weekday,11.3567832,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,30,9.1,16.1,2015-09-30,Weekday,17.04668555,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
